   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
207,Jordan Farmar        ,PG   ,24.0,NJN,73.0,18.0,24.6,3.5,8.9 ,0.392,1.5,4.2,0.359,2.0,4.8 ,0.421,0.475,1.1,1.4 ,0.82 ,0.3,2.0 ,2.4 ,5.0 ,0.8,0.1,1.9,1.8,9.6
211,Raymond Felton       ,PG-SG,26.0,TOT,75.0,54.0,36.5,5.7,13.4,0.425,1.5,4.4,0.353,4.1,9.0 ,0.46 ,0.483,2.6,3.2 ,0.805,0.6,2.9 ,3.6 ,8.3 ,1.7,0.1,2.9,2.0,15.5
214,Rudy Fernández       ,SG   ,25.0,POR,78.0,3.0 ,23.3,2.7,7.4 ,0.37 ,1.5,4.6,0.321,1.2,2.7 ,0.453,0.471,1.6,1.9 ,0.863,0.5,1.7 ,2.2 ,2.5 ,1.1,0.2,1.1,1.7,8.6
215,Kyrylo Fesenko       ,C    ,24.0,UTA,53.0,1.0 ,8.6 ,0.8,1.9 ,0.44 ,0.0,0.0,0.0  ,0.8,1.9 ,0.444,0.44 ,0.3,0.9 ,0.391,0.6,1.4 ,2.0 ,0.3 ,0.1,0.3,0.5,1.7,2.0
216,Landry Fields        ,SG   ,22.0,NYK,82.0,81.0,31.0,3.6,7.3 ,0.497,1.0,2.7,0.393,2.6,4.7 ,0.556,0.568,1.4,1.8 ,0.769,1.3,5.1 ,6.4 ,1.9 ,1.0,0.2,1.3,1.4,9.7
217,Derek Fisher         ,PG   ,36.0,LAL,82.0,82.0,28.0,2.5,6.5 ,0.389,0.8,1.9,0.396,1.7,4.5 ,0.386,0.449,1.0,1.3 ,0.806,0.2,1.7 ,1.9 ,2.7 ,1.2,0.1,0.9,2.3,6.8
218,Jonny Flynn          ,PG   ,21.0,MIN,53.0,8.0 ,18.5,2.0,5.6 ,0.365,0.6,1.9,0.31 ,1.5,3.7 ,0.393,0.417,0.6,0.8 ,0.762,0.2,1.2 ,1.5 ,3.4 ,0.6,0.1,2.1,1.1,5.3
219,Gary Forbes          ,SF   ,25.0,DEN,63.0,11.0,12.6,2.0,4.3 ,0.454,0.3,0.9,0.328,1.7,3.4 ,0.488,0.489,0.9,1.4 ,0.678,0.4,1.4 ,1.8 ,0.8 ,0.4,0.1,0.7,1.2,5.2
220,T.J. Ford            ,PG   ,27.0,IND,41.0,3.0 ,18.9,2.2,5.8 ,0.386,0.1,0.8,0.188,2.1,5.0 ,0.417,0.398,0.9,1.2 ,0.729,0.4,1.6 ,2.0 ,3.4 ,0.9,0.2,1.5,1.7,5.4
221,Jeff Foster          ,C    ,34.0,IND,56.0,3.0 ,16.8,1.4,3.0 ,0.479,0.0,0.1,0.0  ,1.4,2.9 ,0.488,0.479,0.5,0.9 ,0.563,2.9,3.4 ,6.3 ,0.8 ,0.4,0.6,0.5,2.3,3.3
