pred_rank,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP,pred
15,Donovan Mitchell,27,58,50,35.56,9.43,19.57,0.48,3.65,9.11,0.39,5.89,10.16,0.54,0.55,4.73,5.33,0.87,0.88,3.42,4.22,4.39,1.36,0.42,2.49,2.4,26.59,21.72,0.6,0.46,0.28,3.06,11.17,7.09,21.84,1.91,1.06,10.14,30.99,4.16,3.07,7.54,0.15,5.01,0.32,5.75,3.99,0.01
16,LaMelo Ball,22,26,20,35.41,8.94,21.13,0.41,3.75,10.54,0.35,4.38,9.73,0.47,0.51,3.52,4.35,0.82,1,5.48,6.24,8.45,1.36,0.31,3.66,2.96,25.71,19.15,0.55,0.52,0.18,3.14,16.07,9.25,37.59,1.64,0.74,14.52,31.86,1.41,1.07,2.39,0.08,4.19,-0.69,3.47,0.95,0.01
17,LeBron James,39,54,54,33.76,9.99,20.58,0.49,2.03,6.85,0.33,8.16,14.51,0.57,0.54,4.28,5.12,0.77,1.08,7.25,8.18,6.7,0.86,0.43,3.29,1.63,24.65,21.24,0.57,0.31,0.27,3.76,20.77,12.16,33.51,1.2,1.44,12.1,32.15,2.71,3.13,5.22,0.11,3.45,0.54,4.42,3.32,0.01
18,James Harden,34,45,52,34.19,5.53,12.41,0.45,2.69,6.48,0.41,2.98,6.17,0.51,0.56,4.52,4.85,0.85,0.7,5.23,5.67,9.66,1.17,0.43,2.93,1.79,19.03,19.25,0.62,0.48,0.4,2.39,17.9,9.43,43.39,1.66,1.3,15.19,25.15,5.65,2.52,7.45,0.19,3.38,0.59,4.49,3.86,0.01
19,De'Aaron Fox,26,71,65,31.67,8.59,16.9,0.51,1.7,5.4,0.34,7.05,11.37,0.57,0.56,4.28,5.63,0.8,0.59,3.63,4.21,5.65,1.01,0.26,2.29,2.19,22.96,22.23,0.6,0.3,0.34,2.12,12.36,7.45,27.73,1.62,0.77,10.67,28.43,6.23,2.17,9.12,0.17,3.88,-0.29,3.33,3.57,0
20,Julius Randle,29,68,61,33.87,8.12,16.12,0.47,2.62,7.23,0.36,5.19,9.21,0.56,0.54,4.45,6.31,0.74,1.92,7.66,9.55,3.52,0.62,0.32,2.32,2.95,23.37,20.42,0.58,0.43,0.36,6.09,23.82,15.14,14.77,1.09,0.86,11.36,26.32,6.04,2.41,8.88,0.17,3.7,-0.47,4.18,4.25,0
21,Kristaps Porziņģis,28,74,69,33.96,7.87,14.6,0.49,2.12,5.48,0.41,5.89,10.11,0.55,0.56,5.04,6.16,0.84,1.63,6.93,8.54,3.06,0.91,1.19,2.19,2.82,23.01,22.24,0.62,0.37,0.4,6.03,22.58,14.51,13.17,1.41,3.78,10.58,25.78,6.14,3.48,9.04,0.15,3.2,0.54,3.28,4.05,0
22,Jalen Brunson,27,59,58,34.13,8.77,17.98,0.46,2,5.03,0.41,6.67,13.09,0.49,0.53,4.7,6.22,0.83,0.68,2.62,3.24,6.48,0.95,0.24,2.14,2.24,24.6,21.36,0.58,0.3,0.34,1.93,8.9,5.16,29.3,1.43,0.7,10.37,27.79,5.82,0.98,7.46,0.15,4.04,-0.88,3.57,3.34,0
23,Kevin Durant,35,51,49,34.11,9.89,17.08,0.56,1.87,4.94,0.39,7.92,12.73,0.61,0.61,5.47,5.93,0.91,0.41,6.22,6.74,4.93,0.69,1.3,3.16,2.08,26.62,23.29,0.66,0.27,0.39,1.27,20.01,10.81,23.79,1.03,3.45,13.53,30.29,4.13,2.81,7.46,0.17,4.33,1.32,5.6,3.28,0
24,Anthony Edwards,22,71,65,35.17,8.93,20.27,0.47,2.64,6.92,0.37,6.31,12.4,0.51,0.54,4.44,6,0.76,0.67,5.02,5.69,4.78,1.52,0.59,3.35,2.47,25.01,18.22,0.57,0.37,0.28,2.11,16.14,9.14,19.4,2.02,1.6,13.02,31.62,0.38,3.08,3.84,0.07,1.79,0.16,1.09,1.91,0
25,Jaylen Brown,27,64,62,35.68,10.02,19.93,0.48,2.39,7.31,0.35,7.57,13.17,0.56,0.54,3.85,5.14,0.77,1.3,5.14,6.64,3.94,1.15,0.41,2.83,2.41,25.42,18.63,0.56,0.37,0.27,3.81,15.93,9.68,16.75,1.45,1.01,11,30.54,1.64,2.23,4.39,0.09,1.41,-0.58,1.07,1.75,0
26,Jaren Jackson Jr.,24,42,31,28.88,7.36,13.63,0.51,1.58,3.65,0.35,5.81,9.24,0.59,0.57,4,5.37,0.79,1.59,4.97,7.09,1.26,1.07,2.35,1.88,2.93,20.99,22.64,0.62,0.37,0.34,6.39,19.07,12.54,5.95,1.64,8.51,10.73,26.66,3.78,2.45,7.31,0.18,1.16,1.63,3.59,2.5,0
27,Keldon Johnson,24,56,45,33.13,7.79,17.9,0.44,1.81,6.35,0.3,6.15,11.41,0.5,0.5,4.28,5.49,0.74,0.76,3.59,4.42,3.32,0.74,0.24,2.22,1.99,22.6,15.59,0.54,0.39,0.28,2.64,12.63,7.65,14.37,1.1,0.51,9.9,29.21,0.31,0.01,1.45,0.03,0.41,-2.35,-2.17,0.19,0
27,Kyrie Irving,31,91,71,34.52,8.09,17.11,0.49,2.95,8.09,0.34,5.47,9.22,0.56,0.54,3.42,4.04,0.88,1.03,3.86,5.16,5,1.01,0.71,1.88,2.52,21.7,19.6,0.58,0.44,0.23,3.22,12.29,7.99,24.74,1.36,1.42,9.47,26.83,6.62,2.9,8.81,0.13,3.02,-0.55,3,4.4,0
