     ,Player               ,Age,Tm ,G ,GS,MVP_Share,MVP_Rank,MP  ,FG  ,FGA ,FG%   ,3P ,3PA ,3P%   ,2P  ,2PA ,2P%   ,eFG%  ,FT ,FTA ,FT%   ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS ,Year,Tm_AGE,Tm_W,Tm_L,Tm_PW,Tm_PL,Tm_MOV,Tm_SOS,Tm_SRS,Tm_ORtg,Tm_DRtg,Tm_NRtg,Tm_PACE,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_TOV%,Tm_ORB%,Tm_FT/FGA,Tm_Op_eFG%,Tm_Op_TOV%,Tm_DRB%,Tm_Op_FT/FGA,Win%
9186 ,Shaquille O'Neal     ,31 ,LAL,67,67,0.1447   ,6       ,36.8,8.3 ,14.1,0.5887,0  ,0   ,0     ,8.3 ,14.1,0.5887,0.5887,4.9,10.1,0.4851,3.7,7.8 ,11.5,2.9 ,0.5,2.5,2.9,3.4,21.5,2004,26    ,34  ,48  ,33   ,49   ,-2.96 ,0.64  ,-2.32 ,108.1  ,111.4  ,-3.3   ,90.8   ,0.322 ,0.273  ,0.535 ,0.485  ,13.4   ,29.5   ,0.251    ,0.493     ,11        ,71.1   ,0.218       ,0.415
10506,LeBron James         ,22 ,CLE,78,78,0.1419   ,5       ,40.9,9.9 ,20.8,0.476 ,1.3,4   ,0.325 ,8.6 ,16.8,0.5119,0.5072,6.3,9   ,0.7   ,1.1,5.7 ,6.7 ,6   ,1.6,0.7,3.2,2.2,27.3,2007,27.1  ,45  ,37  ,40   ,42   ,-0.35 ,-0.17 ,-0.53 ,106    ,106.4  ,-0.4   ,90.2   ,0.308 ,0.231  ,0.52  ,0.48   ,13.1   ,30.4   ,0.221    ,0.494     ,12.9      ,75.9   ,0.24        ,0.549
5528 ,Hakeem Olajuwon      ,32 ,HOU,72,72,0.14     ,5       ,39.6,11.1,21.5,0.5163,0  ,0.2 ,0     ,11  ,21.2,0.5189,0.5116,5.6,7.5 ,0.7467,2.4,8.4 ,10.8,3.5 ,1.8,3.4,3.3,3.5,27.8,1995,29    ,48  ,34  ,46   ,36   ,1.74  ,-0.12 ,1.63  ,109.3  ,107.4  ,1.9    ,93.2   ,0.317 ,0.265  ,0.555 ,0.512  ,14.1   ,26.9   ,0.243    ,0.495     ,13.6      ,68.6   ,0.206       ,0.585
2724 ,Charles Barkley      ,24 ,PHI,80,80,0.1363   ,4       ,39.6,9.4 ,16  ,0.5875,0.6,2   ,0.3   ,8.9 ,14.1,0.6312,0.6125,8.9,11.9,0.7479,4.8,7.1 ,11.9,3.2 ,1.3,1.3,3.8,3.5,28.3,1988,27    ,46  ,36  ,45   ,37   ,1.5   ,0.18  ,1.68  ,113    ,111.5  ,1.5    ,98.5   ,0.348 ,0.09   ,0.552 ,0.5    ,12.8   ,32.2   ,0.274    ,0.513     ,13.4      ,67.2   ,0.215       ,0.561
6904 ,Jason Kidd           ,25 ,PHO,50,50,0.1347   ,5       ,41.2,6.2 ,14  ,0.4429,0.9,2.5 ,0.36  ,5.3 ,11.5,0.4609,0.475 ,3.6,4.8 ,0.75  ,1.7,5   ,6.8 ,10.8,2.3,0.4,3  ,2.2,16.9,1999,28.6  ,53  ,29  ,56   ,26   ,5.22  ,0.02  ,5.24  ,104.6  ,99     ,5.6    ,94     ,0.286 ,0.184  ,0.532 ,0.491  ,15.2   ,29.3   ,0.217    ,0.454     ,15.7      ,70.5   ,0.245       ,0.646
6510 ,Tim Duncan           ,21 ,SAS,82,82,0.1276   ,5       ,39.1,8.6 ,15.7,0.5478,0  ,0.1 ,0     ,8.6 ,15.6,0.5513,0.5478,3.9,5.9 ,0.661 ,3.3,8.6 ,11.9,2.7 ,0.7,2.5,3.4,3.1,21.1,1998,30.1  ,37  ,13  ,39   ,11   ,8.06  ,-0.94 ,7.12  ,104    ,95     ,9      ,88.6   ,0.371 ,0.137  ,0.523 ,0.479  ,14.6   ,30.4   ,0.259    ,0.423     ,13.8      ,69.5   ,0.198       ,0.74
7747 ,Kevin Garnett        ,24 ,MIN,81,81,0.1218   ,5       ,39.5,8.7 ,18.2,0.478 ,0.2,0.8 ,0.25  ,8.5 ,17.4,0.4885,0.4835,4.4,5.8 ,0.7586,2.7,8.7 ,11.4,5   ,1.4,1.8,2.8,2.5,22  ,2001,26.7  ,50  ,32  ,51   ,31   ,3.38  ,0.2   ,3.58  ,109    ,105.3  ,3.7    ,90.5   ,0.255 ,0.152  ,0.532 ,0.49   ,12.5   ,31.3   ,0.203    ,0.482     ,12.7      ,73.7   ,0.218       ,0.61
14990,Kevin Durant         ,27 ,OKC,72,72,0.1122   ,5       ,35.8,9.7 ,19.2,0.5052,2.6,6.7 ,0.3881,7.1 ,12.5,0.568 ,0.5729,6.2,6.9 ,0.8986,0.6,7.6 ,8.2 ,5   ,1  ,1.2,3.5,1.9,28.2,2016,24.7  ,47  ,35  ,43   ,39   ,0.76  ,0.39  ,1.14  ,108.3  ,107.5  ,0.8    ,97.8   ,0.295 ,0.295  ,0.54  ,0.5    ,13.2   ,27.9   ,0.22     ,0.511     ,12.5      ,79     ,0.218       ,0.573
3059 ,Charles Barkley      ,25 ,PHI,79,79,0.1109   ,6       ,39.1,8.9 ,15.3,0.5817,0.4,2.1 ,0.1905,8.4 ,13.2,0.6364,0.5882,7.6,10.1,0.7525,5.1,7.4 ,12.5,4.1 ,1.6,0.8,3.2,3.3,25.8,1989,27.4  ,53  ,29  ,54   ,28   ,4.99  ,-0.75 ,4.23  ,113.5  ,108.4  ,5.1    ,96.5   ,0.357 ,0.077  ,0.556 ,0.502  ,12.9   ,32     ,0.281    ,0.495     ,13.3      ,68.4   ,0.223       ,0.646
3388 ,David Robinson       ,24 ,SAS,82,81,0.1109   ,6       ,36.6,8.4 ,15.9,0.5283,0  ,0   ,0     ,8.4 ,15.8,0.5316,0.5283,7.5,10.2,0.7353,3.7,8.3 ,12  ,2   ,1.7,3.9,3.1,3.2,24.3,1990,26    ,55  ,27  ,53   ,29   ,4.51  ,-0.21 ,4.3   ,107.8  ,103.3  ,4.5    ,98.6   ,0.352 ,0.043  ,0.544 ,0.494  ,15.2   ,33.3   ,0.269    ,0.463     ,13.2      ,70.3   ,0.228       ,0.671
7384 ,Allen Iverson        ,24 ,PHI,70,70,0.1091   ,7       ,40.8,10.4,24.8,0.4194,1.3,3.7 ,0.3514,9.1 ,21  ,0.4333,0.4456,6.3,8.9 ,0.7079,1  ,2.8 ,3.8 ,4.7 ,2.1,0.1,3.3,2.3,28.4,2000,28.2  ,56  ,26  ,54   ,28   ,4.28  ,-0.65 ,3.64  ,103.6  ,98.9   ,4.7    ,90.6   ,0.351 ,0.124  ,0.518 ,0.468  ,14.7   ,31.2   ,0.262    ,0.46      ,14.5      ,72.5   ,0.186       ,0.683
2691 ,Clyde Drexler        ,25 ,POR,81,80,0.1075   ,5       ,37.8,10.5,20.7,0.5072,0.1,0.6 ,0.1667,10.3,20.1,0.5124,0.5048,5.9,7.2 ,0.8194,3.2,3.4 ,6.6 ,5.8 ,2.5,0.6,2.9,3.1,27  ,1988,26.9  ,39  ,43  ,45   ,37   ,1.46  ,-0.55 ,0.92  ,109.4  ,108    ,1.4    ,103.9  ,0.31  ,0.083  ,0.53  ,0.488  ,13.9   ,36.7   ,0.23     ,0.501     ,15.7      ,67.4   ,0.264       ,0.476
8640 ,Shaquille O'Neal     ,30 ,LAL,67,66,0.1059   ,5       ,37.8,10.4,18.1,0.5746,0  ,0   ,0     ,10.4,18.1,0.5746,0.5746,6.7,10.8,0.6204,3.9,7.2 ,11.1,3.1 ,0.6,2.4,2.9,3.4,27.5,2003,29.8  ,56  ,26  ,52   ,30   ,3.9   ,0.45  ,4.35  ,105.5  ,101.3  ,4.2    ,92.3   ,0.352 ,0.167  ,0.522 ,0.481  ,12.8   ,28.1   ,0.244    ,0.471     ,14.3      ,73.3   ,0.222       ,0.683
