,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
42,Mario Elie,SF,27,GSW,9,7,21.9,3.1,6.2,.500,0.1,0.1,1.000,3.0,6.1,.491,.509,3.0,3.6,.844,1.9,1.7,3.6,1.4,0.6,0.1,1.1,3.6,9.3,13.5,.599,.018,.571,9.9,9.0,9.5,8.7,1.2,0.3,12.5,17.5,0.4,0.1,0.4,.109,0.5,-1.5,-1.0,0.1,1991
43,Sean Elliott,SF,22,SAS,4,4,33.0,4.3,10.0,.425,0.0,0.8,.000,4.3,9.3,.459,.425,6.3,8.0,.781,2.0,3.5,5.5,4.0,1.0,0.3,2.3,2.3,14.8,14.5,.545,.075,.800,7.1,12.8,9.9,17.0,1.4,0.5,14.3,19.8,0.1,0.1,0.2,.085,1.0,0.5,1.5,0.1,1991
44,Patrick Ewing*,C,28,NYK,3,3,36.7,6.0,15.0,.400,0.0,0.0,0,6.0,15.0,.400,.400,4.7,6.0,.778,0.7,9.3,10.0,2.0,0.3,1.7,3.7,4.0,16.7,10.3,.472,.000,.400,2.3,31.9,17.1,10.7,0.5,3.0,17.2,26.6,-0.2,0.1,-0.1,-0.049,-2.1,0.6,-1.4,0.0,1991
45,Duane Ferrell,SF,25,ATL,5,0,14.6,1.6,3.6,.444,0.0,0.0,0,1.6,3.6,.444,.444,1.6,2.4,.667,1.2,2.2,3.4,0.6,0.0,0.0,0.4,2.0,4.8,10.7,.515,.000,.667,8.6,15.4,12.0,7.1,0.0,0.0,7.9,15.2,0.1,0.0,0.1,.076,-1.2,-1.4,-2.6,0.0,1991
46,Vern Fleming,PG,28,IND,5,0,23.0,3.6,8.0,.450,0.0,0.2,.000,3.6,7.8,.462,.450,2.2,2.8,.786,2.0,1.4,3.4,4.6,0.2,0.6,1.6,2.0,9.4,14.7,.509,.025,.350,10.4,7.7,9.1,28.0,0.4,1.6,14.8,19.6,0.2,0.0,0.1,.062,3.1,-2.2,1.0,0.1,1991
47,Sleepy Floyd,PG,30,HOU,3,0,13.7,2.7,8.0,.333,0.0,1.3,.000,2.7,6.7,.400,.333,0.0,0.0,0,0.0,0.7,0.7,2.3,0.7,0.3,2.3,1.3,5.3,0.3,.333,.167,.000,0.0,6.2,3.0,28.3,2.6,1.8,22.6,34.3,-0.3,0.1,-0.2,-0.291,-7.9,-2.8,-10.7,-0.1,1991
48,Kevin Gamble,SF,25,BOS,11,11,21.6,2.6,5.5,.483,0.0,0.0,0,2.6,5.5,.483,.483,0.7,1.1,.667,0.3,0.9,1.2,1.7,0.4,0.2,0.6,2.2,6.0,7.7,.506,.000,.200,1.5,4.6,3.1,11.0,0.8,0.5,9.7,13.3,0.1,0.0,0.1,.021,-2.1,-1.2,-3.3,-0.1,1991
49,Armen Gilliam,PF,26,PHI,8,8,35.9,6.0,13.0,.462,0.0,0.0,0,6.0,13.0,.462,.462,4.9,5.8,.848,1.8,4.8,6.5,1.3,0.6,0.8,1.9,2.0,16.9,15.1,.543,.000,.442,6.3,15.9,11.3,6.0,0.9,1.3,10.8,23.0,0.2,0.2,0.4,.071,0.0,-1.8,-1.8,0.0,1991
50,Horace Grant,PF,25,CHI,17,17,39.2,5.4,9.2,.583,0.0,0.0,0,5.4,9.2,.583,.583,2.6,3.5,.733,3.3,4.8,8.1,2.2,0.9,0.4,1.2,2.6,13.3,16.0,.620,.000,.385,11.0,15.1,13.1,8.0,1.2,0.7,9.9,14.1,1.6,1.1,2.6,.189,2.4,-0.2,2.2,0.7,1991
51,Jeff Grayer,SG,25,MIL,3,0,12.3,1.7,4.3,.385,0.0,0.0,0,1.7,4.3,.385,.385,1.7,2.0,.833,1.0,1.0,2.0,2.0,0.3,0.0,1.0,0.7,5.0,13.9,.480,.000,.462,9.4,11.1,10.2,24.2,1.4,0.0,16.1,22.4,0.0,0.0,0.0,.016,0.7,-0.4,0.3,0.0,1991
52,A.C. Green,PF,27,LAL,19,1,21.1,2.2,5.1,.423,0.2,0.4,.500,1.9,4.7,.416,.443,2.0,2.8,.704,2.4,2.9,5.4,0.5,0.6,0.2,1.0,1.9,6.5,11.9,.513,.082,.557,14.3,16.8,15.6,3.3,1.6,0.5,13.6,15.8,0.3,0.4,0.7,.085,0.0,-0.6,-0.6,0.1,1991
53,Rickey Green,PG,36,PHI,8,8,24.9,3.0,6.9,.436,0.4,0.5,.750,2.6,6.4,.412,.464,1.0,1.1,.889,0.1,1.0,1.1,2.8,0.9,0.0,1.6,1.1,7.4,8.6,.500,.073,.164,0.6,4.8,2.8,17.7,1.9,0.0,18.1,17.2,-0.2,0.1,-0.1,-0.014,-2.2,-2.1,-4.3,-0.1,1991
54,Sidney Green,PF,30,SAS,3,0,3.7,1.0,2.0,.500,0.0,0.0,0,1.0,2.0,.500,.500,0.7,0.7,1.000,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.0,2.7,15.9,.581,.000,.333,10.6,32.9,21.6,0.0,0.0,0.0,12.7,29.7,0.0,0.0,0.0,.078,-2.9,-1.5,-4.3,0.0,1991
55,Dave Greenwood,PF,33,SAS,1,0,5.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.0,0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,26.3,1.000,.000,.000,23.4,24.2,23.8,62.1,0.0,0.0,50.0,16.6,0.0,0.0,0.0,.168,8.4,4.8,13.2,0.0,1991
56,Darrell Griffith,SG,32,UTA,3,0,3.0,1.7,2.3,.714,0.0,0.0,0,1.7,2.3,.714,.714,0.0,0.0,0,0.3,0.3,0.7,0.0,0.0,0.0,0.3,0.0,3.3,34.0,.714,.000,.000,13.5,12.1,12.7,0.0,0.0,0.0,12.5,39.1,0.0,0.0,0.0,.172,5.7,-1.9,3.8,0.0,1991
57,Tim Hardaway,PG,24,GSW,9,9,44.0,10.0,20.6,.486,1.9,5.3,.354,8.1,15.2,.533,.532,3.3,4.2,.789,0.6,3.1,3.7,11.2,3.1,0.8,2.8,2.4,25.2,22.8,.563,.259,.205,1.5,8.4,4.9,37.8,3.4,1.1,11.0,24.7,0.9,0.3,1.2,.144,6.8,0.8,7.6,0.9,1991
58,Scott Hastings,PF,30,DET,10,0,3.5,0.3,0.6,.500,0.2,0.4,.500,0.1,0.2,.500,.667,0.0,0.0,0,0.2,0.4,0.6,0.3,0.0,0.1,0.1,0.6,0.8,9.9,.667,.667,.000,6.0,13.2,9.5,12.1,0.0,1.9,14.3,8.7,0.1,0.0,0.1,.119,-0.2,1.6,1.4,0.0,1991
59,Hersey Hawkins,SG,24,PHI,8,8,41.1,5.9,12.6,.465,1.8,3.3,.538,4.1,9.4,.440,.535,7.4,7.9,.937,1.0,4.8,5.8,3.4,2.5,1.3,2.0,3.6,20.9,21.2,.649,.257,.624,3.1,13.9,8.7,13.6,3.2,1.9,11.1,20.9,1.0,0.4,1.4,.203,3.7,2.3,6.0,0.7,1991
60,Gerald Henderson,PG,35,DET,10,1,4.0,0.4,1.6,.250,0.0,0.3,.000,0.4,1.3,.308,.250,0.0,0.0,0,0.1,0.0,0.1,0.6,0.1,0.0,0.0,0.4,0.8,2.6,.250,.188,.000,2.6,0.0,1.4,21.6,1.3,0.0,0.0,17.4,-0.1,0.0,-0.1,-0.083,-5.9,-2.1,-8.0,-0.1,1991
61,Steve Henson,PG,22,MIL,3,0,13.3,2.0,4.0,.500,0.7,1.0,.667,1.3,3.0,.444,.583,1.0,1.3,.750,0.0,1.0,1.0,1.0,0.3,0.0,2.0,1.0,5.7,7.4,.618,.250,.333,0.0,10.3,4.7,11.4,1.3,0.0,30.4,21.9,-0.1,0.0,-0.1,-0.078,-2.6,-1.8,-4.4,0.0,1991
62,Rod Higgins,SF,31,GSW,9,3,23.8,2.9,6.8,.426,0.9,2.9,.308,2.0,3.9,.514,.492,2.6,3.1,.821,1.0,2.2,3.2,2.0,0.2,0.9,0.8,3.1,9.2,12.5,.566,.426,.459,4.8,11.1,7.9,10.8,0.4,2.4,8.7,16.2,0.3,0.1,0.4,.088,1.4,-0.7,0.7,0.1,1991
63,Sean Higgins,SF,22,SAS,3,0,4.3,0.0,0.7,.000,0.0,0.0,0,0.0,0.7,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,-4.1,.000,.000,.000,0.0,0.0,0.0,9.1,0.0,0.0,0.0,6.4,0.0,0.0,0.0,-0.122,-6.8,-3.1,-9.9,0.0,1991
64,Tyrone Hill,PF,22,GSW,9,0,8.9,1.0,1.6,.643,0.0,0.1,.000,1.0,1.4,.692,.643,0.4,0.7,.667,0.8,1.8,2.6,0.2,0.3,0.4,0.2,2.8,2.4,11.6,.661,.071,.429,10.1,23.7,16.8,3.2,1.8,3.1,10.7,10.0,0.2,0.1,0.2,.148,-2.2,2.0,-0.2,0.0,1991
65,Craig Hodges,SG,30,CHI,17,0,12.3,1.9,4.6,.423,0.6,1.6,.393,1.3,2.9,.440,.494,0.2,0.2,.750,0.0,0.2,0.2,0.6,0.6,0.0,0.6,1.2,4.7,8.2,.502,.359,.051,0.0,2.3,1.2,6.9,2.9,0.0,12.1,20.2,-0.1,0.3,0.2,.043,-3.1,-0.6,-3.7,-0.1,1991
