,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
34,Darryl Dawkins,C,23,PHI,18,0,33.7,7.0,13.2,0.529,0.0,0.2,0.0,7.0,13.1,0.536,0.529,3.3,5.2,0.645,2.4,5.2,7.6,1.8,0.7,2.3,2.6,4.2,17.3,17.2,0.559,0.013,0.391,8.2,16.1,12.3,8.8,1.0,4.0,14.2,22.6,0.7,0.9,1.6,0.125,1.6,-0.2,1.4,0.5,1980
35,John Drew,SF,25,ATL,5,0,30.0,4.8,12.6,0.381,0.0,0.0,0.0,4.8,12.6,0.381,0.381,5.0,7.0,0.714,2.0,4.0,6.0,0.8,1.4,0.0,2.4,4.2,14.6,12.2,0.466,0.0,0.556,7.0,15.8,11.1,4.5,2.4,0.0,13.3,25.9,-0.1,0.1,0.1,0.024,-2.1,-1.1,-3.3,0.0,1980
36,Mike Dunleavy,PG,25,HOU,6,0,7.5,1.0,2.0,0.5,0.0,0.3,0.0,1.0,1.7,0.6,0.5,0.8,1.0,0.833,0.3,0.5,0.8,2.2,0.8,0.0,1.0,1.8,2.8,17.3,0.581,0.167,0.5,5.1,7.7,6.4,39.9,5.5,0.0,29.1,19.2,0.1,0.0,0.1,0.099,-0.9,5.1,4.2,0.1,1980
37,T.R. Dunn,SG,24,POR,3,0,8.0,0.7,2.7,0.25,0.0,0.0,0.0,0.7,2.7,0.25,0.25,0.7,0.7,1.0,0.3,1.0,1.3,1.3,0.3,0.0,0.3,1.0,2.0,9.7,0.338,0.0,0.25,4.6,14.7,9.5,21.9,2.1,0.0,10.1,17.7,0.0,0.0,0.0,0.004,-2.2,1.1,-1.1,0.0,1980
38,Len Elmore,C,27,KCK,3,0,14.3,1.3,4.3,0.308,0.0,0.0,0.0,1.3,4.3,0.308,0.308,0.3,0.7,0.5,2.0,1.7,3.7,0.3,1.0,0.3,1.3,1.3,3.0,6.7,0.324,0.0,0.154,14.1,13.4,13.7,3.0,3.5,1.4,22.4,17.2,-0.1,0.1,-0.1,-0.073,-5.2,-0.7,-5.9,0.0,1980
39,Julius Erving*,SF,29,PHI,18,0,38.6,9.2,18.8,0.488,0.1,0.5,0.222,9.1,18.3,0.495,0.491,6.0,7.6,0.794,1.7,5.8,7.6,4.4,2.0,2.1,3.1,3.1,24.4,22.5,0.553,0.027,0.402,5.1,15.9,10.7,19.3,2.5,3.1,12.3,27.6,1.3,1.2,2.6,0.178,5.7,1.2,6.9,1.6,1980
40,Mike Evans,SG,24,SAS,2,0,6.0,1.5,4.0,0.375,1.0,2.0,0.5,0.5,2.0,0.25,0.5,1.5,2.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.5,29.1,0.564,0.5,0.5,0.0,18.9,9.1,28.2,0.0,0.0,0.0,34.4,0.1,0.0,0.1,0.291,7.1,0.4,7.4,0.0,1980
41,Eric Fernsten,PF,26,BOS,5,0,3.6,0.4,1.2,0.333,0.0,0.0,0.0,0.4,1.2,0.333,0.333,0.4,0.6,0.667,0.6,0.4,1.0,0.0,0.0,0.6,0.4,0.2,1.2,11.8,0.41,0.0,0.5,18.8,12.8,15.8,0.0,0.0,10.0,21.5,21.9,0.0,0.0,0.0,0.01,0.1,-0.5,-0.5,0.0,1980
42,Chris Ford,SG,31,BOS,9,0,31.0,3.8,8.8,0.43,0.2,1.4,0.154,3.6,7.3,0.485,0.443,1.3,1.7,0.8,1.0,1.8,2.8,2.3,1.6,0.7,1.4,3.9,9.1,9.7,0.479,0.165,0.19,3.6,6.6,5.1,10.2,2.5,1.3,13.2,15.0,0.1,0.5,0.5,0.091,-0.8,1.5,0.7,0.2,1980
43,Phil Ford,PG,23,KCK,3,0,36.7,6.7,14.3,0.465,1.0,1.3,0.75,5.7,13.0,0.436,0.5,3.0,3.7,0.818,0.0,2.0,2.0,8.7,1.7,0.0,4.0,2.0,17.3,17.1,0.543,0.093,0.256,0.0,6.3,2.9,34.4,2.3,0.0,20.1,22.5,0.1,0.1,0.2,0.087,2.5,-0.1,2.4,0.1,1980
44,Mike Gale,PG,29,SAS,3,0,23.0,2.7,6.7,0.4,0.3,1.3,0.25,2.3,5.3,0.438,0.425,1.3,2.3,0.571,0.3,1.7,2.0,5.3,1.7,0.0,1.0,2.0,7.0,15.1,0.455,0.2,0.35,1.5,8.2,4.7,32.0,3.6,0.0,11.5,16.0,0.1,0.0,0.1,0.042,-1.8,2.0,0.1,0.0,1980
45,Gus Gerard,SF,26,KCK,3,0,8.7,1.3,3.3,0.4,0.0,0.0,0.0,1.3,3.3,0.4,0.4,0.7,1.3,0.5,1.3,1.3,2.7,0.7,0.0,0.0,1.3,0.7,3.3,8.2,0.425,0.0,0.4,15.5,17.7,16.5,10.8,0.0,0.0,25.4,25.0,-0.1,0.0,-0.1,-0.109,-3.6,-3.4,-7.0,0.0,1980
46,George Gervin*,SG,27,SAS,3,0,40.7,12.3,24.7,0.5,0.0,0.7,0.0,12.3,24.0,0.514,0.5,8.7,10.0,0.867,3.0,3.7,6.7,4.0,1.7,1.0,3.0,2.7,33.3,28.2,0.573,0.027,0.405,7.7,10.2,8.9,18.3,2.0,1.4,9.4,33.4,0.5,0.0,0.5,0.181,6.2,0.4,6.7,0.3,1980
47,Jack Givens,SF,23,ATL,4,0,9.0,0.8,3.5,0.214,0.0,0.0,0.0,0.8,3.5,0.214,0.214,0.0,0.0,0.0,0.3,1.0,1.3,0.8,0.5,0.0,0.8,1.8,1.5,-2.5,0.214,0.0,0.0,2.9,13.1,7.7,12.3,2.8,0.0,17.6,20.3,-0.2,0.0,-0.2,-0.213,-10.1,-1.0,-11.1,-0.1,1980
48,Kevin Grevey,SF,26,WSB,2,0,36.0,8.0,15.0,0.533,2.5,5.0,0.5,5.5,10.0,0.55,0.617,2.0,2.0,1.0,0.5,2.5,3.0,4.0,2.5,1.0,2.0,4.5,20.5,21.0,0.645,0.333,0.133,1.4,7.7,4.5,17.9,3.4,1.5,11.2,20.3,0.2,0.0,0.3,0.168,4.2,3.3,7.5,0.2,1980
49,Paul Griffin,C,26,SAS,3,0,23.0,2.3,4.7,0.5,0.0,0.0,0.0,2.3,4.7,0.5,0.5,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.3,2.3,3.0,6.7,9.0,0.601,0.0,0.429,4.5,19.7,11.8,11.8,0.0,0.8,29.6,14.5,0.0,0.0,0.0,-0.016,-5.2,-0.4,-5.6,-0.1,1980
50,Bob Gross,SF,26,POR,3,0,17.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,0.333,0.333,2.0,2.0,1.0,0.3,1.0,1.3,1.3,0.3,0.0,1.0,2.7,4.0,6.3,0.515,0.0,0.667,2.2,6.9,4.5,10.0,1.0,0.0,20.5,12.3,0.0,0.0,0.0,0.023,-4.0,0.0,-4.0,0.0,1980
51,Ernie Grunfeld,SF,24,KCK,3,0,10.7,1.7,3.0,0.556,0.0,0.0,0.0,1.7,3.0,0.556,0.556,0.3,1.0,0.333,0.3,0.0,0.3,0.0,0.3,0.0,0.0,1.0,3.7,9.9,0.533,0.0,0.333,3.1,0.0,1.7,0.0,1.6,0.0,0.0,13.3,0.0,0.0,0.1,0.081,-1.3,-0.4,-1.7,0.0,1980
52,Steve Hawes,PF,29,ATL,5,0,29.8,3.6,8.2,0.439,0.0,0.0,0.0,3.6,8.2,0.439,0.439,3.2,3.6,0.889,2.6,4.4,7.0,2.4,1.8,0.2,1.6,4.4,10.4,15.6,0.531,0.0,0.439,9.1,17.5,13.0,12.6,3.1,0.4,14.1,16.4,0.2,0.2,0.4,0.13,1.0,1.5,2.6,0.2,1980
53,Elvin Hayes*,PF,34,WSB,2,0,46.0,8.0,20.5,0.39,0.0,0.0,0.0,8.0,20.5,0.39,0.39,4.0,5.0,0.8,5.0,6.0,11.0,3.0,0.0,2.0,2.0,4.0,20.0,13.5,0.441,0.0,0.244,11.3,14.4,12.8,9.7,0.0,2.4,8.1,22.0,0.0,0.0,0.0,0.017,-0.8,-1.7,-2.6,0.0,1980
54,Spencer Haywood*,PF,30,LAL,11,0,13.2,2.3,4.8,0.472,0.0,0.1,0.0,2.3,4.7,0.481,0.472,1.2,1.5,0.813,1.3,1.1,2.4,0.4,0.0,0.5,1.8,1.5,5.7,8.2,0.525,0.019,0.302,10.5,8.8,9.6,3.7,0.0,2.3,25.0,21.8,-0.1,0.1,0.0,-0.014,-3.0,-3.0,-6.0,-0.1,1980
55,Gar Heard,PF,31,PHO,8,0,27.9,2.8,7.0,0.393,0.0,0.0,0.0,2.8,7.0,0.393,0.393,1.4,1.9,0.733,2.4,4.0,6.4,1.5,1.1,1.4,1.0,2.9,6.9,10.9,0.439,0.0,0.268,9.4,15.5,12.5,6.6,1.9,2.7,11.3,13.0,0.1,0.2,0.2,0.054,-1.4,0.4,-1.0,0.1,1980
56,Gerald Henderson,PG,24,BOS,9,0,11.2,1.7,4.1,0.405,0.0,0.2,0.0,1.7,3.9,0.429,0.405,1.3,2.2,0.6,0.4,0.7,1.1,1.3,0.4,0.0,0.8,0.9,4.7,11.8,0.459,0.054,0.541,4.5,6.8,5.6,16.7,2.0,0.0,13.3,22.1,0.0,0.1,0.1,0.066,0.1,-0.7,-0.6,0.0,1980
57,Tom Henderson,PG,28,HOU,7,0,29.0,3.1,6.6,0.478,0.0,0.1,0.0,3.1,6.4,0.489,0.478,1.7,2.1,0.8,0.7,1.6,2.3,6.0,1.0,0.6,1.6,2.7,8.0,13.5,0.532,0.022,0.326,2.8,6.3,4.5,27.6,1.7,1.1,17.3,13.1,0.3,0.0,0.3,0.068,0.4,1.1,1.5,0.2,1980
58,Johnny High,PG,22,PHO,8,0,15.0,1.5,3.9,0.387,0.0,0.3,0.0,1.5,3.6,0.414,0.387,1.0,2.0,0.5,1.3,1.9,3.1,2.5,0.8,0.3,0.9,2.5,4.0,11.2,0.421,0.065,0.516,9.2,13.5,11.4,20.4,2.4,0.9,15.5,15.5,0.0,0.1,0.1,0.045,-1.6,1.1,-0.5,0.0,1980
